owner_org,request_number,reason
cihr-irsc,A-2020-0015,fix-encoding-errors.R/Unicode long stroke overlay character
aafc-aac,A-2018-00045,Misc/Different entries with same request number
cta-otc,A-2018-00008,Misc/Different entries with same request number
fintrac-canafe,A-2020-00057,Misc/Different entries with same request number
cgc-ccg,A3-2019-00004,Misc/Entries with same request number but slightly different descriptions
cic,2A-2020-01732,Misc/Entries with same request number but slightly different descriptions
cic,A-2018-07365,Misc/Entries with same request number but slightly different descriptions
cic,A-2019-49791,Misc/Entries with same request number but slightly different descriptions
cic,A-2019-55122,Misc/Entries with same request number but slightly different descriptions
csc-scc,A-2018-00119,Misc/Entries with same request number but slightly different descriptions
csc-scc,A-2019-00292,Misc/Entries with same request number but slightly different descriptions
csis-scrs,A-2020-31,Misc/Entries with same request number but slightly different descriptions
dfatd-maecd,A-2018-00588,Misc/Entries with same request number but slightly different descriptions
dfatd-maecd,A-2018-01407,Misc/Entries with same request number but slightly different descriptions
dnd-mdn,A-2018-00698,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2020-000445,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2021-000592,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2021-000593,Misc/Entries with same request number but slightly different descriptions
ic,A-2019-00886,Misc/Entries with same request number but slightly different descriptions
isc-sac,A-2019-00329,Misc/Entries with same request number but slightly different descriptions
isc-sac,A-2019-00427,Misc/Entries with same request number but slightly different descriptions
isc-sac,A-2019-00451,Misc/Entries with same request number but slightly different descriptions
acoa-apeca,2019-00049,Misc/Missing summary for one entry but not for other
acoa-apeca,2019-00063,Misc/Missing summary for one entry but not for other
cic,A-2017-53544,Misc/Missing summary for one entry but not for other
cic,A-2019-10335,Misc/Missing summary for one entry but not for other
cic,A-2019-27340,Misc/Missing summary for one entry but not for other
cic,A-2019-31764,Misc/Missing summary for one entry but not for other
cic,A-2019-31956,Misc/Missing summary for one entry but not for other
cic,A-2019-37797,Misc/Missing summary for one entry but not for other
cic,A-2019-40027,Misc/Missing summary for one entry but not for other
cic,A-2019-40164,Misc/Missing summary for one entry but not for other
cic,A-2019-40173,Misc/Missing summary for one entry but not for other
cic,A-2019-40617,Misc/Missing summary for one entry but not for other
cic,A-2019-50565,Misc/Missing summary for one entry but not for other
cic,A-2019-50603,Misc/Missing summary for one entry but not for other
cic,A-2019-58996,Misc/Missing summary for one entry but not for other
cic,A-2019-63198,Misc/Missing summary for one entry but not for other
cic,A-2019-63778,Misc/Missing summary for one entry but not for other
cic,A-2019-63806,Misc/Missing summary for one entry but not for other
cic,A-2019-68895,Misc/Missing summary for one entry but not for other
cic,A-2019-68912,Misc/Missing summary for one entry but not for other
cic,A-2019-68912,Misc/Missing summary for one entry but not for other
cic,A-2019-68915,Misc/Missing summary for one entry but not for other
