owner_org,request_number,year,month,summary_en,summary_fr,disposition,pages,comments_en,comments_fr,umd_number,owner_org_title,reason
aafc-aac,A-2018-00045,2018,8,All information pertaining to the recipients of grant funding under all programs of Agriculture and Agri-Food Canada between 2010-2017 government fiscal years.,Toute l'information sur les bénéficiaires des subventions accordées par tous les programmes d'Agriculture et Agroalimentaire Canada pour les exercices 2010 à 2017.,DA (All disclosed / Communication totale),35,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Misc/Different entries with same request number
aafc-aac,A-2018-00045,2019,10,"A copy of the following briefing note: 252535 - INFORMATION ON IMPACTS OF TRADE DISRUPTION AND POTENTIAL RESPONSE, dated 2019-07-12.","Copie de la note d'information « 252535 - INFORMATION ON IMPACTS OF TRADE DISRUPTION AND POTENTIAL RESPONSE », datée du 2019-07-12.",DP (Disclosed in part / Communication partielle),9,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Misc/Different entries with same request number
aafc-aac,A-2020-00126,2021,6,All permits or licenses that allow an association to conduct pari-mutuel betting that were issued or renewed by the Canadian Pari-Mutuel Agency (CPMA) pursuant to s. 6 of the Pari-Mutuel Betting Supervision Regulations.,Tous les permis ou licences permettant à une association de mener des activités de pari mutuel qui ont été octroyés ou renouvelés par l'Agence canadienne du pari mutuel (ACPM) conformément à l'article 6 du Règlement sur la surveillance du pari mutuel.,DA (All disclosed / Communication totale),498,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,NA
aafc-aac,A-2020-00126,2021,6,All permits or licenses that allow an association to conduct pari-mutuel betting that were issued or renewed by the Canadian Pari-Mutuel Agency (CPMA) pursuant to s. 6 of the Pari-Mutuel Betting Supervision Regulations.,Tous les permis ou licences permettant à une association de mener des activités de pari mutuel qui ont été octroyés ou renouvelés par l'Agence canadienne du pari mutuel (ACPM) conformément à l'article 6 du Règlement sur la surveillance du pari mutuel.,DA (All disclosed / Communication totale),102,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,NA
aafc-aac,A-2021-00003,2022,2,"Emails, letters, correspondence, memos, reports, studies, graphs, surveys, forms, publications regarding the existence, prevention, reporting, or management of tomato brown rugose fruit virus known as ToBRFV in Southwestern Ontario from 2018 to May 27, 2021.","Courriels, lettres, correspondance, notes de service, rapports, études, graphiques, sondages, formulaires et publications concernant l’existence, la déclaration et la prévention du virus du fruit rugueux brun de la tomate (ToBRFV) et la lutte contre celui-ci dans le sud-ouest de l’Ontario de 2018 au 27 mai 2021.",DP (Disclosed in part / Communication partielle),1693,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,NA
aafc-aac,A-2021-00003,2022,2,"Emails, letters, correspondence, memos, reports, studies, graphs, surveys, forms, publications regarding the existence, prevention, reporting, or management of tomato brown rugose fruit virus known as ToBRFV in Southwestern Ontario from 2018 to May 27, 2021.","Courriels, lettres, correspondance, notes de service, rapports, études, graphiques, sondages, formulaires et publications concernant l’existence, la déclaration et la prévention du virus du fruit rugueux brun de la tomate (ToBRFV) et la lutte contre celui-ci dans le sud-ouest de l’Ontario de 2018 au 27 mai 2021.",DP (Disclosed in part / Communication partielle),1671,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,NA
bdc,ATI2022-022,2022,2,BDC court cases promissory note,Litiges BDC sur notes promissoires,NE (No records exist / Aucun document n’existe),0,NA,NA,135,Business Development Bank of Canada | Banque de développement du Canada,NA
bdc,ATI2022-022,2022,2,BDC Court Cases,Litiges BDC,NE (No records exist / Aucun document n’existe),0,NA,NA,135,Business Development Bank of Canada | Banque de développement du Canada,NA
bdc,ATI2022-023,2022,4,"Document on BDC Hiring of diversity, equity and inclusion groups, and BDC List of Family of Jobs with Description and Salary Grid, and Current Job Opportunity","Document portant sur le Recrutement de la BDC en matière de diversité, équité et inclusion, et les groupes de positions à la BDC incluant leurs descriptions et grid salariale; et la liste poste présentement en recrutement",DA (All disclosed / Communication totale),486,NA,NA,135,Business Development Bank of Canada | Banque de développement du Canada,NA
bdc,ATI2022-023,2022,4,"Document on BDC Hiring of diversity, equity and inclusion groups, and BDC List of Family of Jobs with Description and Salary Grid, and Current Job Opportunity","Document portant sur le Recrutement de la BDC en matière de diversité, équité et inclusion, et les groupes de positions à la BDC incluant leurs descriptions et grid salariale; et la liste poste présentement en recrutement",DP (Disclosed in part / Communication partielle),486,NA,NA,135,Business Development Bank of Canada | Banque de développement du Canada,NA
